Words;M V;SD V;N V;M A;SD A;N A;M P;SD  P;N P;M AoA;SD AoA;N AoA;Freq(Log10);Freq (1E6);Length;N (%);Grammatical category
aaien;5,2;0,74;64;3,97;1,25;64;3,44;1,13;64;4,71;2,05;32;0,32;2,1;5;0;V
aal;3,42;0,75;64;3,9;1,48;60;3,44;1,12;57;8,03;2,39;31;-0,1;0,8;3;5,4;N
aalmoes;3,3;0,99;64;3,1;1,16;61;2,81;1,31;64;9,38;2,66;30;-0,02;0,96;7;2,2;N
aandachtig;5,3;0,68;64;4,88;1,09;64;4,88;0,86;64;7,52;2,08;32;0,37;2,33;10;0;A
aangenaam;5,94;0,71;64;3,72;1,3;64;4,67;1,07;64;8,19;2,06;32;1,76;57,86;9;0;A
aanslag;1,88;0,95;64;6,06;0,99;64;5,66;1,25;64;8,29;2,58;32;1,23;17,06;7;0;N
aanstoot;3,05;0,82;64;4,86;1;63;4,62;1,01;63;9,42;2,74;32;-0,05;0,89;8;0,9;N
aanstotelijk;3,16;1,1;63;5,03;0,94;62;4,44;1,35;63;9,83;2,96;30;-1,64;0,02;12;2,7;A
aantrekkelijk;6,19;0,71;64;4,86;1,18;64;5,28;0,9;64;8,87;1,89;32;1,24;17,2;13;0;A
aanval;2,59;0,97;64;5,89;1,18;64;5,38;1,03;64;6,13;2,08;32;1,68;47,59;6;0;N
aanvallen;2,92;1,16;64;6,28;0,74;64;5,56;0,94;64;6,06;1,82;32;1,59;38,6;9;0;V
aanvallend;2,86;1,07;64;5,94;0,83;64;5,63;0,92;64;7,58;2,32;32;-0,56;0,27;10;0;A
aanwinst;5,7;0,66;64;4,45;1,13;64;4,91;1,08;64;8,74;2,82;32;0,47;2,97;8;0;N
aanzien;5,09;0,85;64;4,11;1,21;64;4,7;1,41;64;9,1;2,56;32;0,9;7,87;7;0;N
aanzienlijk;4,77;0,87;64;4,09;1,03;64;4,94;1,07;64;9,48;3,2;32;0,38;2,42;11;0;A
aap;4,5;0,93;64;5,16;1,13;64;3,97;1,13;64;3,71;1,53;32;1,46;28,56;3;0;N
aard;4,23;0,68;64;3,2;1,16;64;4,11;1,07;64;8,27;2,13;31;1,19;15,32;4;0,4;N
aardbei;5,42;0,85;64;3,28;1,2;64;3,34;1,12;64;4,32;1,35;32;0,19;1,56;7;0;N
aardbeving;2,13;0,98;64;6,02;1,2;64;6,05;1,24;64;6,84;2,05;32;0,99;9,86;10;0;N
